cuda:0
>>> Training on scheme:  random_split
Training on fold 1
bidirectional

>>> Training

Train - Loss:0.5418, Accuracy:0.7551, F1:0.7391, Precision:0.7816, Recall:0.7010                || Val - Loss:0.7295, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:28
Train - Loss:0.6028, Accuracy:0.6837, F1:0.6353, Precision:0.7397, Recall:0.5567                || Val - Loss:0.7275, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:29
Train - Loss:0.5436, Accuracy:0.7602, F1:0.7459, Precision:0.7841, Recall:0.7113                || Val - Loss:0.7166, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:30
Train - Loss:0.5614, Accuracy:0.7296, F1:0.6971, Precision:0.7821, Recall:0.6289                || Val - Loss:0.7115, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:31
Train - Loss:0.5831, Accuracy:0.7041, F1:0.6705, Precision:0.7468, Recall:0.6082                || Val - Loss:0.7009, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:32
Train - Loss:0.5449, Accuracy:0.7449, F1:0.7126, Precision:0.8052, Recall:0.6392                || Val - Loss:0.7006, Accuracy:0.6000, F1:0.6364, Precision:0.5600, Recall:0.7368 Epoch:33
Train - Loss:0.5753, Accuracy:0.7041, F1:0.6463, Precision:0.7910, Recall:0.5464                || Val - Loss:0.6976, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:34
Train - Loss:0.5486, Accuracy:0.7398, F1:0.7086, Precision:0.7949, Recall:0.6392                || Val - Loss:0.7019, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:35
Train - Loss:0.5646, Accuracy:0.7245, F1:0.6897, Precision:0.7792, Recall:0.6186                || Val - Loss:0.7058, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:36
Train - Loss:0.5604, Accuracy:0.7347, F1:0.7111, Precision:0.7711, Recall:0.6598                || Val - Loss:0.7052, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:37
Train - Loss:0.5603, Accuracy:0.7500, F1:0.7135, Precision:0.8243, Recall:0.6289                || Val - Loss:0.7078, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:38
Train - Loss:0.5853, Accuracy:0.6888, F1:0.6592, Precision:0.7195, Recall:0.6082                || Val - Loss:0.7067, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:39
Train - Loss:0.5665, Accuracy:0.7398, F1:0.7151, Precision:0.7805, Recall:0.6598                || Val - Loss:0.7049, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:40
Train - Loss:0.5633, Accuracy:0.7296, F1:0.7006, Precision:0.7750, Recall:0.6392                || Val - Loss:0.7100, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:41
Train - Loss:0.5822, Accuracy:0.6990, F1:0.6811, Precision:0.7159, Recall:0.6495                || Val - Loss:0.7119, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:42
Train - Loss:0.5570, Accuracy:0.7347, F1:0.7143, Precision:0.7647, Recall:0.6701                || Val - Loss:0.7108, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:43
Train - Loss:0.5619, Accuracy:0.7398, F1:0.7151, Precision:0.7805, Recall:0.6598                || Val - Loss:0.7114, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:44
Train - Loss:0.5702, Accuracy:0.7194, F1:0.6857, Precision:0.7692, Recall:0.6186                || Val - Loss:0.7079, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:45
Train - Loss:0.5504, Accuracy:0.7347, F1:0.7143, Precision:0.7647, Recall:0.6701                || Val - Loss:0.7029, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:46
Train - Loss:0.5439, Accuracy:0.7704, F1:0.7514, Precision:0.8095, Recall:0.7010                || Val - Loss:0.7026, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:47
Train - Loss:0.5713, Accuracy:0.7245, F1:0.7000, Precision:0.7590, Recall:0.6495                || Val - Loss:0.7037, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:48
Train - Loss:0.5635, Accuracy:0.7245, F1:0.6966, Precision:0.7654, Recall:0.6392                || Val - Loss:0.6998, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:49
Train - Loss:0.5478, Accuracy:0.7398, F1:0.7151, Precision:0.7805, Recall:0.6598                || Val - Loss:0.7041, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:50
Train - Loss:0.6019, Accuracy:0.6888, F1:0.6772, Precision:0.6957, Recall:0.6598                || Val - Loss:0.7039, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:51
Train - Loss:0.5521, Accuracy:0.7449, F1:0.7283, Precision:0.7701, Recall:0.6907                || Val - Loss:0.7001, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:52
Train - Loss:0.5574, Accuracy:0.7296, F1:0.7006, Precision:0.7750, Recall:0.6392                || Val - Loss:0.6880, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:53
Train - Loss:0.5501, Accuracy:0.7398, F1:0.7213, Precision:0.7674, Recall:0.6804                || Val - Loss:0.6817, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:54
Train - Loss:0.5730, Accuracy:0.7245, F1:0.6824, Precision:0.7945, Recall:0.5979                || Val - Loss:0.6819, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:55
Train - Loss:0.5380, Accuracy:0.7500, F1:0.7322, Precision:0.7791, Recall:0.6907                || Val - Loss:0.6874, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:56
Train - Loss:0.5637, Accuracy:0.7296, F1:0.6936, Precision:0.7895, Recall:0.6186                || Val - Loss:0.6906, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:57
