cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:1.2044, Accuracy:0.8061, F1:0.8041, Precision:0.8041, Recall:0.8041                || Val - Loss:0.3809, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:29
Train - Loss:1.0874, Accuracy:0.8367, F1:0.8280, Precision:0.8652, Recall:0.7938                || Val - Loss:0.4405, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:30
Train - Loss:0.9708, Accuracy:0.8265, F1:0.8455, Precision:0.7561, Recall:0.9588                || Val - Loss:0.4562, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:31
Train - Loss:1.0243, Accuracy:0.8418, F1:0.8597, Precision:0.7661, Recall:0.9794                || Val - Loss:0.5060, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:32
Train - Loss:1.0768, Accuracy:0.8214, F1:0.8430, Precision:0.7460, Recall:0.9691                || Val - Loss:0.4372, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:33
Train - Loss:0.9510, Accuracy:0.8316, F1:0.8436, Precision:0.7807, Recall:0.9175                || Val - Loss:0.4245, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:34
Train - Loss:1.0888, Accuracy:0.8316, F1:0.8465, Precision:0.7712, Recall:0.9381                || Val - Loss:0.4433, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:35
Train - Loss:1.1149, Accuracy:0.7908, F1:0.7876, Precision:0.7917, Recall:0.7835                || Val - Loss:0.4007, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:36
Train - Loss:0.9562, Accuracy:0.8418, F1:0.8558, Precision:0.7797, Recall:0.9485                || Val - Loss:0.3990, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:37
Train - Loss:0.9126, Accuracy:0.8469, F1:0.8624, Precision:0.7769, Recall:0.9691                || Val - Loss:0.4516, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:38
Train - Loss:1.1026, Accuracy:0.8163, F1:0.8000, Precision:0.8675, Recall:0.7423                || Val - Loss:0.4268, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:39
Train - Loss:0.9698, Accuracy:0.8673, F1:0.8471, Precision:0.9863, Recall:0.7423                || Val - Loss:0.4297, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:40
Train - Loss:1.0222, Accuracy:0.8163, F1:0.8043, Precision:0.8506, Recall:0.7629                || Val - Loss:0.5036, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:41
