cuda:0
>>> Training on scheme:  random_split
Training on fold 1
bidirectional

>>> Training

Train - Loss:0.5274, Accuracy:0.7602, F1:0.7459, Precision:0.7841, Recall:0.7113                || Val - Loss:0.7718, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:28
Train - Loss:0.5441, Accuracy:0.7398, F1:0.7119, Precision:0.7875, Recall:0.6495                || Val - Loss:0.7737, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:29
Train - Loss:0.4871, Accuracy:0.7908, F1:0.7709, Precision:0.8415, Recall:0.7113                || Val - Loss:0.7673, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:30
Train - Loss:0.5459, Accuracy:0.7347, F1:0.7143, Precision:0.7647, Recall:0.6701                || Val - Loss:0.7619, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:31
Train - Loss:0.5288, Accuracy:0.7653, F1:0.7386, Precision:0.8228, Recall:0.6701                || Val - Loss:0.7563, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:32
Train - Loss:0.5375, Accuracy:0.7449, F1:0.7159, Precision:0.7975, Recall:0.6495                || Val - Loss:0.7543, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:33
Train - Loss:0.5382, Accuracy:0.7500, F1:0.7200, Precision:0.8077, Recall:0.6495                || Val - Loss:0.7513, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:34
Train - Loss:0.5096, Accuracy:0.7806, F1:0.7701, Precision:0.8000, Recall:0.7423                || Val - Loss:0.7526, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:35
Train - Loss:0.5243, Accuracy:0.7653, F1:0.7473, Precision:0.8000, Recall:0.7010                || Val - Loss:0.7515, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:36
Train - Loss:0.5174, Accuracy:0.7755, F1:0.7528, Precision:0.8272, Recall:0.6907                || Val - Loss:0.7483, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:37
Train - Loss:0.5260, Accuracy:0.7704, F1:0.7458, Precision:0.8250, Recall:0.6804                || Val - Loss:0.7476, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:38
Train - Loss:0.5479, Accuracy:0.7449, F1:0.7222, Precision:0.7831, Recall:0.6701                || Val - Loss:0.7466, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:39
Train - Loss:0.5560, Accuracy:0.7500, F1:0.7407, Precision:0.7609, Recall:0.7216                || Val - Loss:0.7404, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:40
Train - Loss:0.5199, Accuracy:0.7755, F1:0.7708, Precision:0.7789, Recall:0.7629                || Val - Loss:0.7388, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:41
Train - Loss:0.5347, Accuracy:0.7602, F1:0.7403, Precision:0.7976, Recall:0.6907                || Val - Loss:0.7283, Accuracy:0.6250, F1:0.6667, Precision:0.5769, Recall:0.7895 Epoch:42
Train - Loss:0.5306, Accuracy:0.7653, F1:0.7326, Precision:0.8400, Recall:0.6495                || Val - Loss:0.7130, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:43
Train - Loss:0.5375, Accuracy:0.7551, F1:0.7143, Precision:0.8451, Recall:0.6186                || Val - Loss:0.7075, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:44
Train - Loss:0.5443, Accuracy:0.7449, F1:0.6988, Precision:0.8406, Recall:0.5979                || Val - Loss:0.6994, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:45
Train - Loss:0.5327, Accuracy:0.7602, F1:0.7219, Precision:0.8472, Recall:0.6289                || Val - Loss:0.6952, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:46
Train - Loss:0.5409, Accuracy:0.7602, F1:0.7314, Precision:0.8205, Recall:0.6598                || Val - Loss:0.6964, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:47
Train - Loss:0.5192, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7004, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:48
Train - Loss:0.5444, Accuracy:0.7449, F1:0.7024, Precision:0.8310, Recall:0.6082                || Val - Loss:0.6986, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:49
Train - Loss:0.5237, Accuracy:0.7704, F1:0.7368, Precision:0.8514, Recall:0.6495                || Val - Loss:0.7017, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:50
Train - Loss:0.5234, Accuracy:0.7704, F1:0.7337, Precision:0.8611, Recall:0.6392                || Val - Loss:0.7128, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:51
Train - Loss:0.5477, Accuracy:0.7500, F1:0.7101, Precision:0.8333, Recall:0.6186                || Val - Loss:0.7134, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:52
Train - Loss:0.5481, Accuracy:0.7449, F1:0.6988, Precision:0.8406, Recall:0.5979                || Val - Loss:0.7040, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:53
Train - Loss:0.5378, Accuracy:0.7551, F1:0.7143, Precision:0.8451, Recall:0.6186                || Val - Loss:0.7145, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:54
Train - Loss:0.5515, Accuracy:0.7398, F1:0.6871, Precision:0.8485, Recall:0.5773                || Val - Loss:0.7213, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:55
Train - Loss:0.5318, Accuracy:0.7551, F1:0.7143, Precision:0.8451, Recall:0.6186                || Val - Loss:0.7262, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:56
Train - Loss:0.5334, Accuracy:0.7551, F1:0.7108, Precision:0.8551, Recall:0.6082                || Val - Loss:0.7293, Accuracy:0.6500, F1:0.6818, Precision:0.6000, Recall:0.7895 Epoch:57
