cuda:0
>>> Training on scheme:  random_split
Training on fold 1
cldnn

>>> Training

Train - Loss:0.4343, Accuracy:0.8265, F1:0.8509, Precision:0.7405, Recall:1.0000                || Val - Loss:0.5424, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:27
Best model updated:  0.5423745922744274
Train - Loss:0.4421, Accuracy:0.8163, F1:0.8435, Precision:0.7293, Recall:1.0000                || Val - Loss:0.5366, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:28
Best model updated:  0.5366411868482828
Train - Loss:0.4074, Accuracy:0.8418, F1:0.8622, Precision:0.7578, Recall:1.0000                || Val - Loss:0.5317, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:29
Best model updated:  0.5317422065883874
Train - Loss:0.4603, Accuracy:0.7959, F1:0.8276, Precision:0.7111, Recall:0.9897                || Val - Loss:0.5272, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:30
Best model updated:  0.527160894498229
Train - Loss:0.3999, Accuracy:0.8418, F1:0.8622, Precision:0.7578, Recall:1.0000                || Val - Loss:0.5252, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:31
Best model updated:  0.5252193195745349
Train - Loss:0.3966, Accuracy:0.8418, F1:0.8622, Precision:0.7578, Recall:1.0000                || Val - Loss:0.5225, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:32
Best model updated:  0.522540651448071
Train - Loss:0.4349, Accuracy:0.8112, F1:0.8384, Precision:0.7273, Recall:0.9897                || Val - Loss:0.5194, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:33
Best model updated:  0.5193745478987694
Train - Loss:0.3842, Accuracy:0.8520, F1:0.8688, Precision:0.7742, Recall:0.9897                || Val - Loss:0.5169, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:34
Best model updated:  0.5169087847694754
Train - Loss:0.4098, Accuracy:0.8265, F1:0.8496, Precision:0.7442, Recall:0.9897                || Val - Loss:0.5171, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:35
Train - Loss:0.3935, Accuracy:0.8367, F1:0.8584, Precision:0.7519, Recall:1.0000                || Val - Loss:0.5168, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:36
Best model updated:  0.5168391654267908
Train - Loss:0.4128, Accuracy:0.8214, F1:0.8458, Precision:0.7385, Recall:0.9897                || Val - Loss:0.5176, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:37
Train - Loss:0.3973, Accuracy:0.8316, F1:0.8546, Precision:0.7462, Recall:1.0000                || Val - Loss:0.5170, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:38
Train - Loss:0.3754, Accuracy:0.8469, F1:0.8661, Precision:0.7638, Recall:1.0000                || Val - Loss:0.5155, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:39
Best model updated:  0.515528723038733
Train - Loss:0.3674, Accuracy:0.8520, F1:0.8700, Precision:0.7698, Recall:1.0000                || Val - Loss:0.5126, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:40
Best model updated:  0.5126363709568977
Train - Loss:0.3665, Accuracy:0.8571, F1:0.8727, Precision:0.7805, Recall:0.9897                || Val - Loss:0.5100, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:41
Best model updated:  0.510003318823874
Train - Loss:0.4050, Accuracy:0.8265, F1:0.8496, Precision:0.7442, Recall:0.9897                || Val - Loss:0.5014, Accuracy:0.7500, F1:0.7917, Precision:0.6552, Recall:1.0000 Epoch:42
Best model updated:  0.5014114605262876
Train - Loss:0.3704, Accuracy:0.8520, F1:0.8688, Precision:0.7742, Recall:0.9897                || Val - Loss:0.4863, Accuracy:0.7500, F1:0.7917, Precision:0.6552, Recall:1.0000 Epoch:43
Best model updated:  0.48632653811946513
Train - Loss:0.3130, Accuracy:0.8929, F1:0.9023, Precision:0.8220, Recall:1.0000                || Val - Loss:0.5339, Accuracy:0.7500, F1:0.7826, Precision:0.6667, Recall:0.9474 Epoch:44
Train - Loss:0.3436, Accuracy:0.8827, F1:0.8910, Precision:0.8246, Recall:0.9691                || Val - Loss:0.5088, Accuracy:0.7750, F1:0.8000, Precision:0.6923, Recall:0.9474 Epoch:45
Train - Loss:0.3389, Accuracy:0.8878, F1:0.8932, Precision:0.8440, Recall:0.9485                || Val - Loss:0.5025, Accuracy:0.8000, F1:0.8095, Precision:0.7391, Recall:0.8947 Epoch:46
Train - Loss:0.3004, Accuracy:0.9133, F1:0.9163, Precision:0.8774, Recall:0.9588                || Val - Loss:0.5300, Accuracy:0.7750, F1:0.7907, Precision:0.7083, Recall:0.8947 Epoch:47
Train - Loss:0.3020, Accuracy:0.9082, F1:0.9126, Precision:0.8624, Recall:0.9691                || Val - Loss:0.4920, Accuracy:0.8000, F1:0.8095, Precision:0.7391, Recall:0.8947 Epoch:48
Train - Loss:0.3144, Accuracy:0.9031, F1:0.9055, Precision:0.8750, Recall:0.9381                || Val - Loss:0.5355, Accuracy:0.7500, F1:0.7727, Precision:0.6800, Recall:0.8947 Epoch:49
Train - Loss:0.3470, Accuracy:0.8878, F1:0.8922, Precision:0.8505, Recall:0.9381                || Val - Loss:0.4917, Accuracy:0.8000, F1:0.8095, Precision:0.7391, Recall:0.8947 Epoch:50
Train - Loss:0.3314, Accuracy:0.8980, F1:0.9000, Precision:0.8738, Recall:0.9278                || Val - Loss:0.4623, Accuracy:0.8250, F1:0.8293, Precision:0.7727, Recall:0.8947 Epoch:51
Best model updated:  0.4623469232581556
Train - Loss:0.3417, Accuracy:0.9031, F1:0.9026, Precision:0.8980, Recall:0.9072                || Val - Loss:0.4582, Accuracy:0.8250, F1:0.8293, Precision:0.7727, Recall:0.8947 Epoch:52
Best model updated:  0.45822016140446065
Train - Loss:0.3902, Accuracy:0.8724, F1:0.8718, Precision:0.8673, Recall:0.8763                || Val - Loss:0.4580, Accuracy:0.8250, F1:0.8293, Precision:0.7727, Recall:0.8947 Epoch:53
Best model updated:  0.4580191229470074
Train - Loss:0.2983, Accuracy:0.9133, F1:0.9146, Precision:0.8922, Recall:0.9381                || Val - Loss:0.4907, Accuracy:0.7750, F1:0.7907, Precision:0.7083, Recall:0.8947 Epoch:54
Train - Loss:0.2326, Accuracy:0.9388, F1:0.9406, Precision:0.9048, Recall:0.9794                || Val - Loss:0.5004, Accuracy:0.8000, F1:0.8182, Precision:0.7200, Recall:0.9474 Epoch:55
Train - Loss:0.2735, Accuracy:0.9184, F1:0.9216, Precision:0.8785, Recall:0.9691                || Val - Loss:0.5045, Accuracy:0.8000, F1:0.8182, Precision:0.7200, Recall:0.9474 Epoch:56
Train - Loss:0.3107, Accuracy:0.9031, F1:0.9064, Precision:0.8679, Recall:0.9485                || Val - Loss:0.4365, Accuracy:0.8250, F1:0.8293, Precision:0.7727, Recall:0.8947 Epoch:57
Best model updated:  0.4364761541597545
Train - Loss:0.2968, Accuracy:0.9133, F1:0.9146, Precision:0.8922, Recall:0.9381                || Val - Loss:0.5366, Accuracy:0.7750, F1:0.8085, Precision:0.6786, Recall:1.0000 Epoch:58
Train - Loss:0.3770, Accuracy:0.8520, F1:0.8688, Precision:0.7742, Recall:0.9897                || Val - Loss:0.5632, Accuracy:0.7500, F1:0.7917, Precision:0.6552, Recall:1.0000 Epoch:59
Train - Loss:0.4528, Accuracy:0.8112, F1:0.8384, Precision:0.7273, Recall:0.9897                || Val - Loss:0.5896, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:60
Train - Loss:0.4487, Accuracy:0.8061, F1:0.8348, Precision:0.7218, Recall:0.9897                || Val - Loss:0.5939, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:61
Train - Loss:0.4279, Accuracy:0.8214, F1:0.8458, Precision:0.7385, Recall:0.9897                || Val - Loss:0.5735, Accuracy:0.7250, F1:0.7755, Precision:0.6333, Recall:1.0000 Epoch:62
