cuda
>>> Training on scheme:  random_split
Training on fold 1
ms2

>>> Training

Train - Loss:0.5666, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5584, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:29
Train - Loss:0.5631, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5598, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:30
Train - Loss:0.5615, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5593, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:31
Train - Loss:0.5568, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5583, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:32
Train - Loss:0.5590, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:33
Train - Loss:0.5578, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:34
Train - Loss:0.5642, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:35
Train - Loss:0.5580, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:36
Train - Loss:0.5567, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5580, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:37
Train - Loss:0.5583, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5581, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:38
Train - Loss:0.5619, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5583, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:39
Train - Loss:0.5616, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5582, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:40
Train - Loss:0.5610, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5582, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:41
Train - Loss:0.5582, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5582, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:42
Train - Loss:0.5540, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5581, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:43
Train - Loss:0.5619, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:44
Train - Loss:0.5580, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5577, Accuracy:0.5250, F1:0.0000, Precision:0.0000, Recall:0.0000 Epoch:45
Train - Loss:0.5556, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5578, Accuracy:0.4500, F1:0.1538, Precision:0.2857, Recall:0.1053 Epoch:46
Train - Loss:0.5650, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:47
Train - Loss:0.5608, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:48
