cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:0.3009, Accuracy:0.7959, F1:0.7959, Precision:0.7879, Recall:0.8041                || Val - Loss:0.0924, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:29
Train - Loss:0.2694, Accuracy:0.8418, F1:0.8360, Precision:0.8587, Recall:0.8144                || Val - Loss:0.1110, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:30
Best F1 model updated:  tensor(0.9744, device='cuda:0')
Train - Loss:0.2419, Accuracy:0.8316, F1:0.8493, Precision:0.7623, Recall:0.9588                || Val - Loss:0.1187, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:31
Train - Loss:0.2560, Accuracy:0.8367, F1:0.8532, Precision:0.7686, Recall:0.9588                || Val - Loss:0.1316, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:32
Train - Loss:0.2638, Accuracy:0.8061, F1:0.8257, Precision:0.7438, Recall:0.9278                || Val - Loss:0.1157, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:33
Train - Loss:0.2353, Accuracy:0.8265, F1:0.8365, Precision:0.7838, Recall:0.8969                || Val - Loss:0.1114, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:34
Train - Loss:0.2711, Accuracy:0.8469, F1:0.8529, Precision:0.8131, Recall:0.8969                || Val - Loss:0.1172, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:35
Train - Loss:0.2744, Accuracy:0.8061, F1:0.8100, Precision:0.7864, Recall:0.8351                || Val - Loss:0.1038, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:36
Train - Loss:0.2350, Accuracy:0.8571, F1:0.8692, Precision:0.7949, Recall:0.9588                || Val - Loss:0.1044, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:37
Train - Loss:0.2261, Accuracy:0.8367, F1:0.8519, Precision:0.7731, Recall:0.9485                || Val - Loss:0.1215, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:38
Train - Loss:0.2715, Accuracy:0.8163, F1:0.8043, Precision:0.8506, Recall:0.7629                || Val - Loss:0.1152, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:39
Train - Loss:0.2403, Accuracy:0.8673, F1:0.8471, Precision:0.9863, Recall:0.7423                || Val - Loss:0.1163, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:40
Train - Loss:0.2531, Accuracy:0.8163, F1:0.8043, Precision:0.8506, Recall:0.7629                || Val - Loss:0.1379, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:41
Train - Loss:0.2502, Accuracy:0.8316, F1:0.8479, Precision:0.7667, Recall:0.9485                || Val - Loss:0.1478, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:42
Train - Loss:0.2593, Accuracy:0.8061, F1:0.7765, Precision:0.9041, Recall:0.6804                || Val - Loss:0.1594, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:43
Train - Loss:0.2347, Accuracy:0.8469, F1:0.8438, Precision:0.8526, Recall:0.8351                || Val - Loss:0.1412, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:44
