cuda:0
>>> Training on scheme:  random_split
Training on fold 1
gru

>>> Training

Train - Loss:0.5601, Accuracy:0.7449, F1:0.7525, Precision:0.7238, Recall:0.7835                || Val - Loss:0.7386, Accuracy:0.6750, F1:0.7234, Precision:0.6071, Recall:0.8947 Epoch:28
Train - Loss:0.5457, Accuracy:0.7296, F1:0.7363, Precision:0.7115, Recall:0.7629                || Val - Loss:0.7366, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:29
Train - Loss:0.5576, Accuracy:0.7755, F1:0.7528, Precision:0.8272, Recall:0.6907                || Val - Loss:0.7367, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:30
Train - Loss:0.5498, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7409, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:31
Train - Loss:0.5416, Accuracy:0.7959, F1:0.7727, Precision:0.8608, Recall:0.7010                || Val - Loss:0.7479, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:32
Train - Loss:0.5443, Accuracy:0.8112, F1:0.7886, Precision:0.8846, Recall:0.7113                || Val - Loss:0.7519, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:33
Train - Loss:0.5352, Accuracy:0.7755, F1:0.7442, Precision:0.8533, Recall:0.6598                || Val - Loss:0.7552, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:34
Train - Loss:0.5268, Accuracy:0.7908, F1:0.7630, Precision:0.8684, Recall:0.6804                || Val - Loss:0.7630, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:35
Train - Loss:0.5633, Accuracy:0.7653, F1:0.7386, Precision:0.8228, Recall:0.6701                || Val - Loss:0.7711, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:36
Train - Loss:0.5366, Accuracy:0.7857, F1:0.7529, Precision:0.8767, Recall:0.6598                || Val - Loss:0.7728, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:37
Train - Loss:0.5418, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7669, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:38
Train - Loss:0.5531, Accuracy:0.7806, F1:0.7624, Precision:0.8214, Recall:0.7113                || Val - Loss:0.7668, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:39
Train - Loss:0.5413, Accuracy:0.7806, F1:0.7543, Precision:0.8462, Recall:0.6804                || Val - Loss:0.7696, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:40
Train - Loss:0.5308, Accuracy:0.7806, F1:0.7514, Precision:0.8553, Recall:0.6701                || Val - Loss:0.7658, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:41
Train - Loss:0.5092, Accuracy:0.7857, F1:0.7586, Precision:0.8571, Recall:0.6804                || Val - Loss:0.7575, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:42
Train - Loss:0.5460, Accuracy:0.7551, F1:0.7143, Precision:0.8451, Recall:0.6186                || Val - Loss:0.7479, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:43
Train - Loss:0.5454, Accuracy:0.7755, F1:0.7442, Precision:0.8533, Recall:0.6598                || Val - Loss:0.7492, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:44
Train - Loss:0.5333, Accuracy:0.7755, F1:0.7471, Precision:0.8442, Recall:0.6701                || Val - Loss:0.7517, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:45
Train - Loss:0.5174, Accuracy:0.7857, F1:0.7529, Precision:0.8767, Recall:0.6598                || Val - Loss:0.7544, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:46
Train - Loss:0.5195, Accuracy:0.7806, F1:0.7571, Precision:0.8375, Recall:0.6907                || Val - Loss:0.7640, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:47
Train - Loss:0.5137, Accuracy:0.7959, F1:0.7778, Precision:0.8434, Recall:0.7216                || Val - Loss:0.7613, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:48
Train - Loss:0.5060, Accuracy:0.8061, F1:0.7816, Precision:0.8831, Recall:0.7010                || Val - Loss:0.7581, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:49
Train - Loss:0.5258, Accuracy:0.7755, F1:0.7500, Precision:0.8354, Recall:0.6804                || Val - Loss:0.7606, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:50
Train - Loss:0.5247, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7529, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:51
Train - Loss:0.5387, Accuracy:0.7653, F1:0.7326, Precision:0.8400, Recall:0.6495                || Val - Loss:0.7504, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:52
Train - Loss:0.4901, Accuracy:0.8061, F1:0.7841, Precision:0.8734, Recall:0.7113                || Val - Loss:0.7493, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:53
Train - Loss:0.5351, Accuracy:0.7755, F1:0.7582, Precision:0.8118, Recall:0.7113                || Val - Loss:0.7547, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:54
Train - Loss:0.5146, Accuracy:0.7704, F1:0.7486, Precision:0.8171, Recall:0.6907                || Val - Loss:0.7515, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:55
Train - Loss:0.4850, Accuracy:0.8061, F1:0.7889, Precision:0.8554, Recall:0.7320                || Val - Loss:0.7569, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:56
Train - Loss:0.4938, Accuracy:0.8112, F1:0.7910, Precision:0.8750, Recall:0.7216                || Val - Loss:0.7598, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:57
Train - Loss:0.4821, Accuracy:0.8010, F1:0.7746, Precision:0.8816, Recall:0.6907                || Val - Loss:0.7601, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:58
Train - Loss:0.4782, Accuracy:0.8061, F1:0.7841, Precision:0.8734, Recall:0.7113                || Val - Loss:0.7680, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:59
Train - Loss:0.5029, Accuracy:0.7857, F1:0.7614, Precision:0.8481, Recall:0.6907                || Val - Loss:0.7739, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:60
Train - Loss:0.5301, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7781, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:61
Train - Loss:0.4891, Accuracy:0.7959, F1:0.7753, Precision:0.8519, Recall:0.7113                || Val - Loss:0.7804, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:62
Train - Loss:0.5139, Accuracy:0.7806, F1:0.7571, Precision:0.8375, Recall:0.6907                || Val - Loss:0.7786, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:63
