cuda:0
>>> Training on scheme:  random_split
Training on fold 1
lstm

>>> Training

Train - Loss:0.5360, Accuracy:0.7500, F1:0.7232, Precision:0.8000, Recall:0.6598                || Val - Loss:0.7034, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:27
Train - Loss:0.5618, Accuracy:0.7347, F1:0.7079, Precision:0.7778, Recall:0.6495                || Val - Loss:0.7083, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:28
Train - Loss:0.5287, Accuracy:0.7653, F1:0.7473, Precision:0.8000, Recall:0.7010                || Val - Loss:0.7169, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:29
Train - Loss:0.5443, Accuracy:0.7398, F1:0.7213, Precision:0.7674, Recall:0.6804                || Val - Loss:0.7115, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:30
Train - Loss:0.5160, Accuracy:0.7755, F1:0.7609, Precision:0.8046, Recall:0.7216                || Val - Loss:0.7041, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:31
Train - Loss:0.5288, Accuracy:0.7704, F1:0.7619, Precision:0.7826, Recall:0.7423                || Val - Loss:0.6997, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:32
Train - Loss:0.5267, Accuracy:0.7653, F1:0.7473, Precision:0.8000, Recall:0.7010                || Val - Loss:0.6923, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:33
Train - Loss:0.5416, Accuracy:0.7449, F1:0.7159, Precision:0.7975, Recall:0.6495                || Val - Loss:0.6866, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:34
Train - Loss:0.5329, Accuracy:0.7653, F1:0.7444, Precision:0.8072, Recall:0.6907                || Val - Loss:0.6884, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:35
Train - Loss:0.5173, Accuracy:0.7755, F1:0.7609, Precision:0.8046, Recall:0.7216                || Val - Loss:0.6955, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:36
Train - Loss:0.5464, Accuracy:0.7449, F1:0.7191, Precision:0.7901, Recall:0.6598                || Val - Loss:0.6978, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:37
Train - Loss:0.5286, Accuracy:0.7653, F1:0.7473, Precision:0.8000, Recall:0.7010                || Val - Loss:0.6978, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:38
Train - Loss:0.5201, Accuracy:0.7857, F1:0.7667, Precision:0.8313, Recall:0.7113                || Val - Loss:0.7058, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:39
Train - Loss:0.5357, Accuracy:0.7602, F1:0.7487, Precision:0.7778, Recall:0.7216                || Val - Loss:0.7124, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:40
Train - Loss:0.5362, Accuracy:0.7551, F1:0.7474, Precision:0.7634, Recall:0.7320                || Val - Loss:0.7121, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:41
Train - Loss:0.5314, Accuracy:0.7602, F1:0.7314, Precision:0.8205, Recall:0.6598                || Val - Loss:0.7108, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:42
Train - Loss:0.5311, Accuracy:0.7602, F1:0.7487, Precision:0.7778, Recall:0.7216                || Val - Loss:0.7128, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:43
Train - Loss:0.5313, Accuracy:0.7653, F1:0.7604, Precision:0.7684, Recall:0.7526                || Val - Loss:0.7150, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:44
Train - Loss:0.5115, Accuracy:0.7959, F1:0.7980, Precision:0.7822, Recall:0.8144                || Val - Loss:0.7066, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:45
Train - Loss:0.5222, Accuracy:0.7653, F1:0.7500, Precision:0.7931, Recall:0.7113                || Val - Loss:0.6897, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:46
Train - Loss:0.5313, Accuracy:0.7602, F1:0.7432, Precision:0.7907, Recall:0.7010                || Val - Loss:0.6896, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:47
Train - Loss:0.5196, Accuracy:0.7653, F1:0.7444, Precision:0.8072, Recall:0.6907                || Val - Loss:0.6949, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:48
Train - Loss:0.4939, Accuracy:0.8010, F1:0.7892, Precision:0.8295, Recall:0.7526                || Val - Loss:0.7018, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:49
Train - Loss:0.5210, Accuracy:0.7806, F1:0.7749, Precision:0.7872, Recall:0.7629                || Val - Loss:0.7093, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:50
Train - Loss:0.4758, Accuracy:0.8163, F1:0.8085, Precision:0.8352, Recall:0.7835                || Val - Loss:0.7022, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:51
Train - Loss:0.5246, Accuracy:0.7755, F1:0.7556, Precision:0.8193, Recall:0.7010                || Val - Loss:0.7049, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:52
Train - Loss:0.5134, Accuracy:0.7755, F1:0.7634, Precision:0.7978, Recall:0.7320                || Val - Loss:0.7125, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:53
Train - Loss:0.5303, Accuracy:0.7500, F1:0.7322, Precision:0.7791, Recall:0.6907                || Val - Loss:0.7271, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:54
Train - Loss:0.5291, Accuracy:0.7704, F1:0.7594, Precision:0.7889, Recall:0.7320                || Val - Loss:0.7216, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:55
Train - Loss:0.5406, Accuracy:0.7551, F1:0.7419, Precision:0.7753, Recall:0.7113                || Val - Loss:0.7161, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:56
Train - Loss:0.5324, Accuracy:0.7653, F1:0.7473, Precision:0.8000, Recall:0.7010                || Val - Loss:0.7183, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:57
Train - Loss:0.5200, Accuracy:0.7806, F1:0.7676, Precision:0.8068, Recall:0.7320                || Val - Loss:0.7182, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:58
Train - Loss:0.5246, Accuracy:0.7653, F1:0.7473, Precision:0.8000, Recall:0.7010                || Val - Loss:0.7105, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:59
