cuda:0
>>> Training on scheme:  random_split
Training on fold 1
lstm

>>> Training

Train - Loss:0.5490, Accuracy:0.7500, F1:0.7435, Precision:0.7553, Recall:0.7320                || Val - Loss:0.7128, Accuracy:0.6500, F1:0.6957, Precision:0.5926, Recall:0.8421 Epoch:29
Train - Loss:0.5217, Accuracy:0.7653, F1:0.7553, Precision:0.7802, Recall:0.7320                || Val - Loss:0.7085, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:30
Train - Loss:0.5263, Accuracy:0.7653, F1:0.7527, Precision:0.7865, Recall:0.7216                || Val - Loss:0.6833, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:31
Train - Loss:0.5123, Accuracy:0.7704, F1:0.7458, Precision:0.8250, Recall:0.6804                || Val - Loss:0.6650, Accuracy:0.7000, F1:0.7273, Precision:0.6400, Recall:0.8421 Epoch:32
Train - Loss:0.5388, Accuracy:0.7602, F1:0.7314, Precision:0.8205, Recall:0.6598                || Val - Loss:0.6603, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:33
Train - Loss:0.5520, Accuracy:0.7398, F1:0.7052, Precision:0.8026, Recall:0.6289                || Val - Loss:0.6602, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:34
Train - Loss:0.5483, Accuracy:0.7398, F1:0.7018, Precision:0.8108, Recall:0.6186                || Val - Loss:0.6598, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:35
Train - Loss:0.5565, Accuracy:0.7398, F1:0.7018, Precision:0.8108, Recall:0.6186                || Val - Loss:0.6680, Accuracy:0.6750, F1:0.6977, Precision:0.6250, Recall:0.7895 Epoch:36
Train - Loss:0.5183, Accuracy:0.7704, F1:0.7429, Precision:0.8333, Recall:0.6701                || Val - Loss:0.6700, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:37
Train - Loss:0.5400, Accuracy:0.7602, F1:0.7314, Precision:0.8205, Recall:0.6598                || Val - Loss:0.6731, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:38
Train - Loss:0.5147, Accuracy:0.7653, F1:0.7356, Precision:0.8312, Recall:0.6598                || Val - Loss:0.6819, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:39
Train - Loss:0.5402, Accuracy:0.7449, F1:0.7253, Precision:0.7765, Recall:0.6804                || Val - Loss:0.6931, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:40
Train - Loss:0.5310, Accuracy:0.7500, F1:0.7322, Precision:0.7791, Recall:0.6907                || Val - Loss:0.7016, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:41
Train - Loss:0.5201, Accuracy:0.7653, F1:0.7500, Precision:0.7931, Recall:0.7113                || Val - Loss:0.6979, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:42
Train - Loss:0.5330, Accuracy:0.7653, F1:0.7473, Precision:0.8000, Recall:0.7010                || Val - Loss:0.7034, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:43
Train - Loss:0.5157, Accuracy:0.7908, F1:0.7853, Precision:0.7979, Recall:0.7732                || Val - Loss:0.7071, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:44
Train - Loss:0.5240, Accuracy:0.7755, F1:0.7732, Precision:0.7732, Recall:0.7732                || Val - Loss:0.6968, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:45
Train - Loss:0.5053, Accuracy:0.7908, F1:0.7876, Precision:0.7917, Recall:0.7835                || Val - Loss:0.6934, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:46
Train - Loss:0.4877, Accuracy:0.8061, F1:0.8021, Precision:0.8105, Recall:0.7938                || Val - Loss:0.6867, Accuracy:0.6750, F1:0.7111, Precision:0.6154, Recall:0.8421 Epoch:47
Train - Loss:0.4908, Accuracy:0.7959, F1:0.7938, Precision:0.7938, Recall:0.7938                || Val - Loss:0.6240, Accuracy:0.7000, F1:0.7273, Precision:0.6400, Recall:0.8421 Epoch:48
