cuda
>>> Training on scheme:  random_split
Training on fold 1
gru

>>> Training

Train - Loss:0.5618, Accuracy:0.7551, F1:0.7474, Precision:0.7634, Recall:0.7320                || Val - Loss:0.7186, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:28
Train - Loss:0.5895, Accuracy:0.7653, F1:0.7356, Precision:0.8312, Recall:0.6598                || Val - Loss:0.7225, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:29
Train - Loss:0.5662, Accuracy:0.7653, F1:0.7262, Precision:0.8592, Recall:0.6289                || Val - Loss:0.7243, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:30
Train - Loss:0.5653, Accuracy:0.7602, F1:0.7219, Precision:0.8472, Recall:0.6289                || Val - Loss:0.7256, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:31
Train - Loss:0.5591, Accuracy:0.7602, F1:0.7283, Precision:0.8289, Recall:0.6495                || Val - Loss:0.7274, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:32
Train - Loss:0.5726, Accuracy:0.7500, F1:0.7030, Precision:0.8529, Recall:0.5979                || Val - Loss:0.7284, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:33
Train - Loss:0.5679, Accuracy:0.7551, F1:0.7209, Precision:0.8267, Recall:0.6392                || Val - Loss:0.7287, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:34
Train - Loss:0.5772, Accuracy:0.7602, F1:0.7251, Precision:0.8378, Recall:0.6392                || Val - Loss:0.7291, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:35
Train - Loss:0.5545, Accuracy:0.7704, F1:0.7305, Precision:0.8714, Recall:0.6289                || Val - Loss:0.7300, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:36
Train - Loss:0.5551, Accuracy:0.7653, F1:0.7294, Precision:0.8493, Recall:0.6392                || Val - Loss:0.7302, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:37
Train - Loss:0.5344, Accuracy:0.7755, F1:0.7412, Precision:0.8630, Recall:0.6495                || Val - Loss:0.7309, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:38
Train - Loss:0.5421, Accuracy:0.7857, F1:0.7586, Precision:0.8571, Recall:0.6804                || Val - Loss:0.7311, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:39
Train - Loss:0.5497, Accuracy:0.7806, F1:0.7514, Precision:0.8553, Recall:0.6701                || Val - Loss:0.7323, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:40
Train - Loss:0.5636, Accuracy:0.7602, F1:0.7251, Precision:0.8378, Recall:0.6392                || Val - Loss:0.7331, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:41
Train - Loss:0.5954, Accuracy:0.7449, F1:0.7126, Precision:0.8052, Recall:0.6392                || Val - Loss:0.7334, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:42
Train - Loss:0.5659, Accuracy:0.7449, F1:0.6988, Precision:0.8406, Recall:0.5979                || Val - Loss:0.7338, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:43
Train - Loss:0.5670, Accuracy:0.7551, F1:0.7143, Precision:0.8451, Recall:0.6186                || Val - Loss:0.7346, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:44
Train - Loss:0.5738, Accuracy:0.7551, F1:0.7209, Precision:0.8267, Recall:0.6392                || Val - Loss:0.7343, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:45
Train - Loss:0.5312, Accuracy:0.7755, F1:0.7412, Precision:0.8630, Recall:0.6495                || Val - Loss:0.7349, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:46
Train - Loss:0.5704, Accuracy:0.7500, F1:0.7066, Precision:0.8429, Recall:0.6082                || Val - Loss:0.7358, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:47
Train - Loss:0.5421, Accuracy:0.7653, F1:0.7262, Precision:0.8592, Recall:0.6289                || Val - Loss:0.7373, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:48
Train - Loss:0.5849, Accuracy:0.7398, F1:0.6982, Precision:0.8194, Recall:0.6082                || Val - Loss:0.7387, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:49
Train - Loss:0.5487, Accuracy:0.7653, F1:0.7294, Precision:0.8493, Recall:0.6392                || Val - Loss:0.7394, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:50
Train - Loss:0.5623, Accuracy:0.7602, F1:0.7186, Precision:0.8571, Recall:0.6186                || Val - Loss:0.7406, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:51
Train - Loss:0.5627, Accuracy:0.7500, F1:0.7135, Precision:0.8243, Recall:0.6289                || Val - Loss:0.7422, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:52
Train - Loss:0.5628, Accuracy:0.7653, F1:0.7294, Precision:0.8493, Recall:0.6392                || Val - Loss:0.7429, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:53
Train - Loss:0.5505, Accuracy:0.7806, F1:0.7514, Precision:0.8553, Recall:0.6701                || Val - Loss:0.7439, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:54
Train - Loss:0.5514, Accuracy:0.7704, F1:0.7399, Precision:0.8421, Recall:0.6598                || Val - Loss:0.7456, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:55
Train - Loss:0.5421, Accuracy:0.7755, F1:0.7412, Precision:0.8630, Recall:0.6495                || Val - Loss:0.7473, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:56
Train - Loss:0.5456, Accuracy:0.7755, F1:0.7381, Precision:0.8732, Recall:0.6392                || Val - Loss:0.7489, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:57
Train - Loss:0.5930, Accuracy:0.7449, F1:0.7093, Precision:0.8133, Recall:0.6289                || Val - Loss:0.7501, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:58
Train - Loss:0.5471, Accuracy:0.7602, F1:0.7314, Precision:0.8205, Recall:0.6598                || Val - Loss:0.7515, Accuracy:0.7000, F1:0.7391, Precision:0.6296, Recall:0.8947 Epoch:59
